*Reference,*Manufacturer Part number,*QTY,*Original,Description,Purchase Link
C1 C2,,2,N,0402 0.1u,https://www.digikey.jp/product-detail/ja/taiyo-yuden/EMK105BJ104KV-F/587-1226-1-ND/931003
C3 C4,,2,N,0402 22p,
J1,,1,N,L pin header 01x10,https://akizukidenshi.com/catalog/g/gC-01627/
R1,,1,N,0402 120,
R2,,1,N,0201 10k,
SW1,,1,Y,SW_Slide_with_cover,https://www.mouser.com/ProductDetail/Alps-Alpine/SSAJ120100?qs=35GPJvxY%252Bl5mRNwFoBrl2g%3D%3D
U1,MCP25625-x-ML,1,Y,MCP25625-x-ML,https://www.digikey.jp/ja/products/detail/microchip-technology/MCP25625-E-ML/4842804
Y1,FA-238 16.0000M,1,Y,Crystal 16MHz,https://www.digikey.jp/product-detail/ja/epson/FA-238-16-0000MB-K3/SER4046CT-ND/5175138
